season,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form
1993-1994,Chelsea,42,13,12,17,49,53,-4,51,21,21,31,20,18,33,11,5,5,2,7,12,"W,L,D,W,D,L,D,D,W,L,W,L,W,W,W,L,L,D,D,W,W,W,L,D,L,L,D,L,L,L,L,L,L,W,D,W,D,D,W,L,D,L"
1993-1994,Man City,42,9,18,15,38,49,-11,45,21,21,24,22,14,27,6,10,5,3,8,10,"D,D,L,D,W,W,W,D,D,D,L,D,W,D,L,D,W,L,D,L,D,L,L,W,L,L,D,D,L,L,D,D,D,W,L,W,W,D,L,L,L,D"
1993-1994,Spurs,42,11,12,19,54,59,-5,45,21,21,29,33,25,26,4,8,9,7,4,10,"L,W,L,W,L,L,L,W,W,D,D,D,L,L,L,L,L,L,L,W,L,D,W,D,L,D,D,D,L,L,D,L,W,D,W,D,D,L,W,W,L,W"
1993-1994,Everton,42,12,8,22,42,63,-21,44,21,21,26,30,16,33,8,4,9,4,4,13,"W,L,D,L,W,L,L,D,L,L,L,W,D,D,W,L,W,L,L,L,L,L,D,L,W,D,D,L,L,W,L,D,L,L,W,W,L,L,L,W,W,W"
1993-1994,Ipswich,42,9,16,17,35,58,-23,43,21,21,21,32,14,26,5,8,8,4,8,9,"D,L,L,D,L,L,L,D,L,L,D,W,L,W,D,L,L,D,D,L,D,W,D,W,D,W,D,D,L,L,W,D,L,D,L,L,D,D,L,W,W,W"
1993-1994,Southampton,42,12,7,23,49,66,-17,43,21,21,30,31,19,35,9,2,10,3,5,13,"D,L,W,L,W,W,L,L,L,D,L,D,D,W,W,L,W,W,L,D,W,L,L,L,L,L,W,L,W,L,W,D,D,L,L,L,L,L,W,L,L,L"
1993-1994,Sheffield Utd,42,8,18,16,42,60,-18,42,21,21,24,23,18,37,6,10,5,2,8,11,"L,D,W,W,L,D,W,W,D,D,D,D,D,L,D,L,L,D,W,L,D,L,D,L,D,W,L,L,L,D,D,D,D,L,L,D,L,D,W,L,L,W"
1993-1994,Oldham,42,9,13,20,42,68,-26,40,21,21,24,33,18,35,5,8,8,4,5,12,"D,L,D,D,L,L,L,L,W,W,D,W,L,D,W,W,D,L,L,L,L,D,L,W,D,W,L,L,L,W,D,L,D,D,L,L,L,D,D,L,W,L"
1993-1994,Swindon,42,5,15,22,47,100,-53,30,21,21,25,45,22,55,4,7,10,1,8,12,"L,W,L,L,D,L,D,L,D,L,D,L,D,L,W,W,L,D,L,D,L,W,D,L,D,L,W,D,L,L,D,D,L,L,D,D,L,D,L,L,L,L"
1992-1993,Man Utd,42,24,12,6,67,31,36,84,21,21,39,14,28,17,14,5,2,10,7,4,"W,W,W,W,W,W,W,D,D,D,L,W,W,W,D,W,L,W,W,W,W,D,D,W,W,W,W,L,L,D,D,D,D,D,W,W,W,W,W,D,L,L"
1992-1993,Aston Villa,42,21,11,10,57,40,17,74,21,21,36,16,21,24,13,5,3,8,6,7,"L,L,L,W,W,D,W,L,W,D,D,W,W,W,L,W,L,W,W,W,W,L,D,W,W,L,D,W,W,D,D,W,W,W,D,W,L,W,L,D,D,D"
1992-1993,Norwich,42,21,9,12,61,65,-4,72,21,21,31,19,30,46,13,6,2,8,3,10,"D,W,L,W,L,L,W,L,W,W,W,L,D,D,W,L,W,W,D,L,D,D,L,L,W,W,W,W,D,L,W,L,D,W,W,W,W,W,L,D,W,W"
1992-1993,Blackburn,42,20,11,11,68,46,22,71,21,21,38,18,30,28,13,4,4,7,7,7,"W,W,L,W,W,W,L,W,W,W,D,D,L,D,W,L,L,L,W,D,L,W,W,L,L,W,D,L,D,D,D,W,W,D,L,W,W,W,D,W,W,D"
1992-1993,QPR,42,17,12,13,63,55,8,63,21,21,41,32,22,23,11,5,5,6,7,8,"W,W,D,D,W,W,D,L,D,L,L,W,L,L,W,D,D,W,D,L,W,W,L,L,W,L,L,W,L,W,L,W,D,D,W,D,D,L,W,W,W,D"
1992-1993,Liverpool,42,16,11,15,62,55,7,59,21,21,41,18,21,37,13,4,4,3,7,11,"W,L,L,W,W,D,W,L,D,W,W,W,L,D,D,L,D,D,W,L,L,D,L,W,L,W,W,W,L,W,D,W,L,L,L,W,D,D,D,L,W,L"
1992-1993,Sheffield Wed,42,15,14,13,55,51,4,59,21,21,34,26,21,25,9,8,4,6,6,9,"L,L,W,D,L,D,W,L,D,D,L,W,L,D,W,W,W,W,W,W,W,D,W,L,L,D,D,D,D,D,W,L,W,L,W,L,L,L,D,D,W,D"
